videoName,rotAngle,videoLength,firstTargets,secondTargets,clickedItemsfromFirstVid,clickedItemsfromSecondVid,respnseTimeFirstVid,respnseTimeSecondVid
"NO_2,10_10_1_114_0_90.avi",150,110,12,0,21,0,1.4785 2.7097 ,0
"OC_2,1_1_1_119_0_135.avi",304,110,2,1,2,1,2.5367 ,1.6425 
"OC_2,1_10_119_1_45_180.avi",300,110,1,1,1,1,2.5748 ,1.5106 
"OB_OC_2,1_10_1_114_45_0.avi",93,110,3,4,3,4,2.4307 ,1.0569 
"OB_OC_4,1_10_119_1_45_315.avi",221,110,412,4,243,4,1.5317 2.9549 4.3796 ,5.5394 
"OB_OC_2,1_10_1_114_45_45.avi",210,110,2,1,2,1,2.597 ,1.6131 
"NO_2,10_10_114_229_0_90.avi",195,110,1,4,1,4,2.5277 ,1.5433 
"OC_2,10_10_229_344_0_135.avi",314,110,4,1,4,1,2.4657 ,1.419 
"OB_4,1_10_1_229_45_180.avi",96,110,312,4,32,42,1.3287 3.1538 ,2.2632 4.3915 
"OB_OC_4,1_10_1_229_45_90.avi",115,110,3412,0,34,21,2.7114 4.519 ,1.4631 5.3726 
"OB_2,10_10_1_114_0_225.avi",43,110,4,4,4,4,2.4174 ,1.4231 
"OB_2,1_10_1_1_45_90.avi",339,110,1,1,1,1,1.5986 ,2.8393 
"OB_OC_2,10_10_1_114_0_0.avi",233,110,4,1,0,41,0,1.3827 2.4887 
"OB_OC_4,10_10_1_229_0_0.avi",173,110,142,3,421,3,1.5715 2.3813 3.9706 ,3.1891 
"OC_2,1_10_1_114_45_180.avi",231,110,42,0,42,0,1.9529 3.4633 ,0
"NO_2,10_10_229_344_0_315.avi",197,110,4,4,4,4,1.267 ,2.4029 
"NO_4,1_1_1_119_0_180.avi",234,110,12,31,12,31,1.3749 3.1532 ,2.0162 4.1848 
"OB_OC_4,10_10_114_229_0_315.avi",196,110,14,43,14,43,1.8278 2.6182 ,1.0848 3.4999 
"NO_4,1_10_1_1_0_202.5.avi",260,110,123,1,213,1,2.0723 2.9749 3.9019 ,1.3103 
"OC_2,10_10_1_114_0_315.avi",189,110,1,1,1,1,1.0821 ,2.1383 
"NO_2,1_10_1_1_45_0.avi",358,110,12,0,21,0,0.98315 1.7566 ,0
"OB_4,10_10_229_344_0_0.avi",79,110,43,41,34,14,1.5982 4.5832 ,2.5352 3.5844 
"OB_4,1_10_119_229_45_315.avi",39,110,3412,0,4213,0,1.447 2.3755 3.2796 4.7432 ,0
"OB_2,7_10_1_114_45_90.avi",40,110,4,1,4,1,0.91368 ,1.722 
"OB_4,1_10_1_114_45_180.avi",23,110,31,14,13,41,2.668 3.6364 ,1.1875 4.6203 
"OB_OC_4,1_10_1_1_45_180.avi",146,110,12,42,2,342,1.3288 ,2.0658 2.6579 3.6986 
"OB_OC_4,1_10_119_229_45_90.avi",162,110,412,4,234,4,2.8681 4.1413 5.8527 ,2.0518 
"OB_2,10_10_229_344_0_90.avi",132,110,4,4,4,4,1.1443 ,2.3042 
"OB_OC_2,1_10_119_1_45_315.avi",275,110,1,4,1,4,1.6592 ,3.3631 
"NO_2,1_1_1_119_0_180.avi",227,110,1,3,1,1,1.1921 ,2.0164 
"OB_2,10_10_114_344_0_0.avi",278,110,4,1,4,1,1.1114 ,1.8898 
"NO_4,1_10_1_229_0_112.5.avi",336,110,234,3,423,3,1.957 3.5497 4.7161 ,2.7164 
"OB_4,1_10_1_344_45_180.avi",351,110,312,4,312,4,1.4651 3.1233 4.4672 ,1.9538 
"OB_4,10_10_1_114_0_270.avi",70,110,143,4,143,4,2.0809 3.2104 4.2247 ,1.2018 
"OB_OC_2,1_10_1_1_45_135.avi",50,110,1,1,1,1,1.0495 ,2.7854 
"OB_4,10_10_114_229_0_270.avi",251,110,143,4,341,4,1.3501 2.2243 4.576 ,3.5687 
"OB_OC_2,1_10_1_229_45_135.avi",34,110,32,0,23,0,1.6076 2.8977 ,0
"NO_4,10_10_1_229_0_157.5.avi",190,110,12,34,12,34,1.2884 3.8801 ,2.2812 4.7617 
"NO_2,1_1_1_119_0_270.avi",191,110,4,1,4,1,1.4512 ,2.5004 
"NO_2,1_10_1_229_45_135.avi",311,110,41,0,14,0,1.8307 3.1273 ,0
