videoName,rotAngle,videoLength,firstTargets,secondTargets,clickedItemsfromFirstVid,clickedItemsfromSecondVid,respnseTimeFirstVid,respnseTimeSecondVid
"NO_2,1_10_1_1_45_315.avi",278,110,12,0,21,0,1.2419 2.5875 ,0
"NO_2,1_10_119_344_45_90.avi",117,110,3,4,3,4,1.5619,2.3463
"OB_4,1_10_1_344_45_315.avi",283,110,3412,0,3124,0,1.2747 2.1309 3.2968 4.7135 ,0
"OB_2,10_10_114_229_0_135.avi",170,110,14,0,14,0,1.422 2.91 ,0
"NO_4,10_10_229_344_0_315.avi",13,110,43,41,43,14,1.0945 3.117 ,2.1511 4.7342 
"OB_2,1_10_1_1_45_0.avi",64,110,0,14,0,14,0,1.2084 2.4321 
"OC_4,1_10_119_344_0_247.5.avi",260,110,13,23,13,32,1.2026 3.8665 ,1.7312 3.1215 
"OB_OC_4,1_10_119_114_45_225.avi",171,110,342,1,421,1,0.96278 2.1067 4.2648 ,3.1858
"OC_4,1_10_119_344_45_90.avi",55,110,31,41,23,14,1.1308 2.5131 ,1.8179 3.281 
"OB_4,1_10_119_229_45_225.avi",123,110,342,4,324,0,1.8611 2.9986 10.1167 ,0
"NO_2,10_10_1_114_0_270.avi",219,110,2,1,2,1,0.9756,2.7918
"OB_2,1_10_1_1_45_225.avi",70,110,1,4,1,4,2.6462,1.3088
"OC_4,1_10_1_1_0_157.5.avi",266,110,234,2,241,2,2.2702 4.6045 7.3966 ,5.35
"OB_4,10_10_1_114_0_90.avi",88,110,43,14,34,14,3.4844 4.3466 ,1.3875 2.3639 
"OB_OC_2,1_10_119_344_45_135.avi",331,110,32,0,23,0,1.0817 2.0635 ,0
"OB_2,1_10_119_114_45_135.avi",97,110,12,0,43,0,1.0136 2.6936 ,0
"OC_4,1_10_1_1_0_247.5.avi",276,110,123,1,213,1,1.5826 2.9649 3.9248 ,0.90985
"OB_OC_2,10_10_1_114_0_180.avi",68,110,14,0,41,0,1.5142 2.5151 ,0
"OB_OC_4,10_10_114_229_0_0.avi",104,110,14,32,4,132,2.6379,1.7507 4.1354 5.3906 
"OC_2,1_10_1_114_45_90.avi",33,110,4,1,4,1,1.9082,0.99504
"OC_2,10_10_114_229_0_225.avi",208,110,0,43,0,43,0,1.0818 2.4497 
"NO_4,10_10_1_229_0_90.avi",247,110,12,43,21,43,0.98575 2.8248 ,1.7223 3.881 
"OB_4,10_10_1_229_0_225.avi",197,110,14,21,411,12,2.294 3.7172 4.4777 ,1.2298 6.1896 
"OC_4,10_10_1_229_0_157.5.avi",154,110,12,34,12,34,1.0932 4.0039 ,1.9803 3.2858 
"OB_OC_2,1_10_1_114_45_225.avi",232,110,1,1,1,1,2.0095,1.2485
"NO_4,10_10_229_344_0_202.5.avi",234,110,34,14,34,41,0.92503 3.739 ,1.7653 2.5233 
"OB_2,10_10_1_114_0_45.avi",245,110,1,1,1,1,0.94874,1.4848
"OB_4,1_1_1_119_0_180.avi",229,110,34,42,34,24,0.94705 3.0908 ,2.0257 4.1625 
"OC_4,1_10_1_344_45_135.avi",341,110,41,13,34,13,1.5971 4.6848 ,2.4612 3.3115 
"NO_4,10_10_1_344_0_315.avi",76,110,12,41,21,14,1.3733 4.9513 ,2.4944 3.5835 
"OB_4,10_10_1_344_0_45.avi",256,110,142,4,241,4,1.4778 2.1734 4.9336 ,3.3981
"NO_4,10_10_1_229_0_270.avi",86,110,12,42,21,42,1.0298 3.9969 ,2.7567 5.1573 
"OB_2,10_10_229_344_0_0.avi",43,110,43,0,34,0,2.7909 4.6734 ,0
"NO_4,1_10_1_229_45_135.avi",219,110,41,31,34,13,1.2779 4.6793 ,2.5898 3.653 
"NO_4,1_10_1_1_0_247.5.avi",163,110,123,1,213,1,2.386 3.5125 4.3687 ,1.2814
"OB_OC_4,10_10_114_229_0_45.avi",166,110,14,21,31,21,2.2393 4.2066 ,1.1986 3.2965 
"NO_2,10_10_1_229_0_180.avi",239,110,2,4,2,4,0.96223,2.1875
"OC_2,10_10_114_344_0_315.avi",278,110,1,4,1,4,1.0328,1.7205
"OB_OC_2,7_10_1_344_45_90.avi",127,110,4,4,4,4,0.68184,1.7041
"OC_2,10_10_1_344_0_315.avi",239,110,1,4,1,4,2.2806,1.0164
