videoName,rotAngle,videoLength,firstTargets,secondTargets,clickedItemsfromFirstVid,clickedItemsfromSecondVid,respnseTimeFirstVid,respnseTimeSecondVid
"NO_2,1_10_1_1_45_315.avi",278,110,12,0,21,0,2.3677 3.8881 ,0
"NO_2,1_10_119_344_45_90.avi",117,110,3,4,3,4,2.0306 ,2.9287 
"OB_4,1_10_1_344_45_315.avi",283,110,3412,0,4213,0,1.9184 3.015 3.9405 4.9169 ,0
"OB_2,10_10_114_229_0_135.avi",170,110,14,0,41,0,1.8522 2.9168 ,0
"NO_4,10_10_229_344_0_315.avi",13,110,43,41,43,14,1.4707 4.8801 ,2.6306 3.6249 
"OB_2,1_10_1_1_45_0.avi",64,110,0,14,0,41,0,2.0941 3.6843 
"OC_4,1_10_119_344_0_247.5.avi",260,110,13,23,14,32,2.0971 9.2146 ,2.849 4.3117 
"OB_OC_4,1_10_119_114_45_225.avi",171,110,342,1,24,23,1.9153 3.4357 ,4.9222 8.8907 
"OC_4,1_10_119_344_45_90.avi",55,110,31,41,13,14,1.7986 3.7818 ,2.6957 4.6465 
"OB_4,1_10_119_229_45_225.avi",123,110,342,4,324,4,2.7788 4.4189 7.184 ,6.4006 
"NO_2,10_10_1_114_0_270.avi",219,110,2,1,2,1,2.6431 ,1.8597 
"OB_2,1_10_1_1_45_225.avi",70,110,1,4,1,4,1.8857 ,2.9114 
"OC_4,1_10_1_1_0_157.5.avi",266,110,234,2,42,21,2.0963 4.4236 ,2.8882 7.7837 
"OB_4,10_10_1_114_0_90.avi",88,110,43,14,34,14,4.431 5.6627 ,1.8943 3.11 
"OB_OC_2,1_10_119_344_45_135.avi",331,110,32,0,3,2,3.184 ,1.9675 
"OB_2,1_10_119_114_45_135.avi",97,110,12,0,12,0,2.1455 3.3139 ,0
"OC_4,1_10_1_1_0_247.5.avi",276,110,123,1,312,1,1.7502 2.6633 3.8322 ,4.6455 
"OB_OC_2,10_10_1_114_0_180.avi",68,110,14,0,41,0,2.0608 3.0472 ,0
"OB_OC_4,10_10_114_229_0_0.avi",104,110,14,32,42,12,2.6115 4.7568 ,1.6197 3.4613 
"OC_2,1_10_1_114_45_90.avi",33,110,4,1,4,1,1.5557 ,2.2438 
"OC_2,10_10_114_229_0_225.avi",208,110,0,43,0,34,0,1.7558 3.0738 
"NO_4,10_10_1_229_0_90.avi",247,110,12,43,12,34,1.5318 5.1461 ,2.6667 3.9643 
"OB_4,10_10_1_229_0_225.avi",197,110,14,21,41,12,1.7448 4.0003 ,2.6075 4.496 
"OC_4,10_10_1_229_0_157.5.avi",154,110,12,34,21,43,1.7981 3.8472 ,2.4693 4.8525 
"OB_OC_2,1_10_1_114_45_225.avi",232,110,1,1,1,1,2.1537 ,1.5294 
"NO_4,10_10_229_344_0_202.5.avi",234,110,34,14,43,14,1.7172 3.9333 ,2.8846 4.7427 
"OB_2,10_10_1_114_0_45.avi",245,110,1,1,1,1,2.2825 ,1.4342 
"OB_4,1_1_1_119_0_180.avi",229,110,34,42,24,24,1.9396 3.8436 ,2.8677 5.1775 
"OC_4,1_10_1_344_45_135.avi",341,110,41,13,43,13,2.8718 5.1667 ,1.7109 3.7355 
"NO_4,10_10_1_344_0_315.avi",76,110,12,41,21,14,3.9346 5.1668 ,1.6058 2.7986 
"OB_4,10_10_1_344_0_45.avi",256,110,142,4,42,14,5.0829 6.4727 ,2.7381 3.7948 
"NO_4,10_10_1_229_0_270.avi",86,110,12,42,21,42,1.4644 3.2901 ,2.6413 4.8085 
"OB_2,10_10_229_344_0_0.avi",43,110,43,0,34,0,2.2043 3.9312 ,0
"NO_4,1_10_1_229_45_135.avi",219,110,41,31,14,13,1.8602 3.6624 ,2.9109 4.4772 
"NO_4,1_10_1_1_0_247.5.avi",163,110,123,1,312,1,2.0811 3.0889 4.1795 ,4.779 
"OB_OC_4,10_10_114_229_0_45.avi",166,110,14,21,13,21,3.4001 7.1431 ,2.2701 4.0384 
"NO_2,10_10_1_229_0_180.avi",239,110,2,4,2,4,1.879 ,2.8793 
"OC_2,10_10_114_344_0_315.avi",278,110,1,4,1,4,1.6857 ,2.5803 
"OB_OC_2,7_10_1_344_45_90.avi",127,110,4,4,4,4,1.3285 ,2.3673 
"OC_2,10_10_1_344_0_315.avi",239,110,1,4,1,4,1.7863 ,2.8405 
