videoName,rotAngle,videoLength,firstTargets,secondTargets,clickedItemsfromFirstVid,clickedItemsfromSecondVid,respnseTimeFirstVid,respnseTimeSecondVid
"NO_2,1_10_1_1_45_315.avi",278,110,12,0,12,0,1.7338 2.3882 ,0
"NO_2,1_10_119_344_45_90.avi",117,110,3,4,3,4,1.1167 ,1.5394 
"OB_4,1_10_1_344_45_315.avi",283,110,3412,0,3124,0,1.1854 1.9309 2.8579 3.8019 ,0
"OB_2,10_10_114_229_0_135.avi",170,110,14,0,14,0,0.99205 1.8478 ,0
"NO_4,10_10_229_344_0_315.avi",13,110,43,41,34,14,1.8192 3.1821 ,0.95609 4.0532 
"OB_2,1_10_1_1_45_0.avi",64,110,0,14,0,41,0,0.9767 1.8493 
"OC_4,1_10_119_344_0_247.5.avi",260,110,13,23,13,32,1.0971 3.0962 ,1.9024 2.6245 
"OB_OC_4,1_10_119_114_45_225.avi",171,110,342,1,421,4,2.1894 3.2122 4.2344 ,1.3078 
"OC_4,1_10_119_344_45_90.avi",55,110,31,41,13,14,2.0329 3.737 ,1.0505 3.2646 
"OB_4,1_10_119_229_45_225.avi",123,110,342,4,124,22,2.521 3.992 5.0742 ,1.1945 1.4977 
"NO_2,10_10_1_114_0_270.avi",219,110,2,1,2,1,2.0656 ,1.2334 
"OB_2,1_10_1_1_45_225.avi",70,110,1,4,3,4,1.7835 ,0.86371 
"OC_4,1_10_1_1_0_157.5.avi",266,110,234,2,2431,0,0.89369 2.109 4.0922 7.5654 ,0
"OB_4,10_10_1_114_0_90.avi",88,110,43,14,34,14,2.0776 2.4546 ,0.99746 3.3747 
"OB_OC_2,1_10_119_344_45_135.avi",331,110,32,0,0,24,0,1.4796 2.9278 
"OB_2,1_10_119_114_45_135.avi",97,110,12,0,14,0,0.99472 2.1078 ,0
"OC_4,1_10_1_1_0_247.5.avi",276,110,123,1,312,1,1.4102 2.1293 2.8882 ,3.7764 
"OB_OC_2,10_10_1_114_0_180.avi",68,110,14,0,41,0,0.97423 2.2548 ,0
"OB_OC_4,10_10_114_229_0_0.avi",104,110,14,32,41,32,1.2463 3.037 ,2.2312 4.0683 
"OC_2,1_10_1_114_45_90.avi",33,110,4,1,4,1,2.9439 ,1.7835 
"OC_2,10_10_114_229_0_225.avi",208,110,0,43,0,34,0,1.1788 2.585 
"NO_4,10_10_1_229_0_90.avi",247,110,12,43,21,43,2.1471 4.0042 ,1.3896 3.1724 
"OB_4,10_10_1_229_0_225.avi",197,110,14,21,41,12,1.0409 2.705 ,1.7031 2.9912 
"OC_4,10_10_1_229_0_157.5.avi",154,110,12,34,12,34,1.2398 3.4714 ,1.9599 2.8959 
"OB_OC_2,1_10_1_114_45_225.avi",232,110,1,1,3,1,1.5014 ,0.81375 
"NO_4,10_10_229_344_0_202.5.avi",234,110,34,14,34,14,1.9925 3.8252 ,1.0785 2.7047 
"OB_2,10_10_1_114_0_45.avi",245,110,1,1,1,1,1.374 ,1.9439 
"OB_4,1_1_1_119_0_180.avi",229,110,34,42,41,24,1.9575 4.6319 ,1.1417 3.285 
"OC_4,1_10_1_344_45_135.avi",341,110,41,13,43,31,1.7938 3.3603 ,1.0971 2.6964 
"NO_4,10_10_1_344_0_315.avi",76,110,12,41,21,14,1.2037 2.7477 ,1.9956 4.1006 
"OB_4,10_10_1_344_0_45.avi",256,110,142,4,32,14,2.5867 3.4663 ,0.85227 1.8995 
"NO_4,10_10_1_229_0_270.avi",86,110,12,42,21,24,0.95665 2.9404 ,1.8622 3.6689 
"OB_2,10_10_229_344_0_0.avi",43,110,43,0,34,0,1.8043 2.8919 ,0
"NO_4,1_10_1_229_45_135.avi",219,110,41,31,34,13,1.6818 3.5553 ,2.8427 4.7561 
"NO_4,1_10_1_1_0_247.5.avi",163,110,123,1,213,1,2.0612 3.0431 3.7008 ,1.2912 
"OB_OC_4,10_10_114_229_0_45.avi",166,110,14,21,41,21,0.91346 3.2088 ,1.9442 4.2985 
"NO_2,10_10_1_229_0_180.avi",239,110,2,4,2,4,0.94822 ,1.9735 
"OC_2,10_10_114_344_0_315.avi",278,110,1,4,1,4,1.2764 ,1.8603 
"OB_OC_2,7_10_1_344_45_90.avi",127,110,4,4,4,4,1.6785 ,0.81232 
"OC_2,10_10_1_344_0_315.avi",239,110,1,4,1,4,2.0164 ,1.0494 
